datetime,values
3/1/86,1.24
6/1/87,1.63
12/1/87,0.93
2/1/88,0.97
5/1/88,1.26
8/1/88,1.33
11/1/88,1.28
1/1/89,1.43
5/1/89,1.39
7/1/89,1.39
10/1/89,1.41
1/1/90,1.48
4/1/90,1.33
6/1/90,1.31
10/1/90,1.76
1/1/91,1.42
4/1/91,1.68
7/1/91,1.37
10/1/91,1.38
4/1/92,1.54
11/1/92,1.56
1/1/93,1.60
4/1/93,1.65
7/1/93,1.56
4/1/94,0.47
7/1/94,1.73
10/1/94,1.81
4/1/95,1.64
10/1/95,1.70
11/1/95,1.61
1/1/96,1.41
10/1/97,1.3
2/1/00,2.1
1/1/01,1.9
1/1/03,2.1
1/1/04,2.3
1/1/05,2.5
1/1/06,2.58
1/1/07,2.4
10/19/08,2.6
11/17/08,2.5
12/14/08,2.5
1/18/09,2.5
4/12/09,2.7
5/3/09,2.6
5/31/09,2.9
7/5/09,2.6
8/2/09,2.7
8/31/09,0.97
10/4/09,2.6
11/8/09,2.8
12/6/09,2.6
1/10/10,2.6
2/7/10,2.5
3/7/10,2.6
4/4/10,2.5
5/23/10,2.6
6/6/10,2.4
7/11/10,2.6
7/25/10,2.5
4/18/11,1
1/29/12,2.4
4/21/13,2.6
5/11/14,2.6
1/11/15,2.8
3/9/16,3.4
10/21/17,2.1
4/18/18,2.6
