datetime,values
3/1/86,1.41
6/1/87,2.28
12/1/87,0.58
2/1/88,1.1
5/1/88,1.34
8/1/88,1.25
11/1/88,1.66
1/1/89,1.57
5/1/89,1.46
7/1/89,1.47
10/1/89,1.41
1/1/90,1.53
4/1/90,2.05
6/1/90,1.62
10/1/90,1.78
1/1/91,1.68
4/1/91,1.55
7/1/91,1.9
10/1/91,1.61
4/1/92,1.9
11/1/92,1.97
1/1/93,2.05
4/1/93,2.11
7/1/93,2.13
4/1/94,0.72
7/1/94,1.95
10/1/94,1.79
4/1/95,1.9
10/1/95,1.79
11/1/95,1.94
1/1/96,2.25
9/1/96,
7/1/97,2.9
10/1/97,2.9
2/1/98,2.9
2/1/00,
3/1/00,2.5
1/1/01,2.31
1/1/02,2.3
1/1/03,4.32
1/1/04,4.6
1/1/05,4.96
1/1/06,3.82
1/1/07,3.9
10/19/08,
11/17/08,
12/14/08,
1/18/09,
1/25/09,
4/12/09,
5/3/09,
5/31/09,
7/5/09,
8/2/09,
8/31/09,
10/4/09,
11/8/09,
12/6/09,
1/10/10,
1/17/10,
2/7/10,
2/14/10,3.9
3/7/10,
3/10/10,
4/4/10,
4/11/10,
5/23/10,
6/6/10,
6/13/10,
7/11/10,
7/25/10,
8/8/10,
9/19/10,
10/18/10,
2/28/11,
4/18/11,
12/4/11,4.6
1/29/12,
2/26/12,
3/18/12,5
5/13/12,
6/25/12,4.4
3/17/13,5
4/21/13,
8/25/13,
9/15/13,
3/16/14,4.8
4/20/14,
5/11/14,
7/13/14,
1/11/15,
3/29/15,
10/14/15,4.6
3/9/16,
3/16/16,
5/3/17,
10/7/17,
10/14/17,4.1
10/21/17,
4/18/18,
4/25/18,
7/15/18,4.5
1/16/19,4.4
